text,category,thumb_cmc_pitch,thumb_cmc_yaw,index_mcp_pitch,middle_mcp_pitch,pinky_mcp_pitch,ring_mcp_pitch
把手张开至极限状态，五指完全伸直，大拇指往外侧展到最大。,Gesture_Open,255,255,255,255,255,255
用力握成一个最紧的实心拳头，大拇指压在四指外面，且在食指上面。,Gesture_Fist,72,66,0,0,0,0
用力握成一个最紧的实心拳头，大拇指压在四指外面，且在食指和中指中间。,Gesture_Fist,74,0,0,0,0,0
手部完全放松，呈现自然下垂时的微曲状态。,Gesture_Open,250,250,250,250,250,250
拇指侧摆自然打开，其他四指全部弯曲到底。,Single_Thumb,250,250,0,0,0,0
拇指往掌心方向侧摆完全收拢并完全弯曲，另外四根手指完全伸直。,Single_Thumb,0,0,255,255,255,255
除了大拇指保持张开外，食指、中指、无名指和小指全部收缩握拳。,Single_Thumb,250,250,0,0,0,0
所有关节复位到最原始的自然张开状态。,Gesture_Open,250,250,250,250,250,250
手指全部呈现半弯曲状态，像一个放松的爪子。,Extent_Half,90,154,170,170,170,170
慢慢收拢所有手指，做成一个内部有空间的空心拳头。,Power_Cylinder,33,255,29,32,30,29
四根手指自然伸直，大拇指以最大角度往手心正前方侧摆。,Single_Thumb,250,0,250,250,250,250
大拇指完全伸直并侧展，食指到小指只弯曲第一和第二指节，呈直角。,Extent_Half,250,250,32,32,32,31
食指和中指完全伸直，无名指、小指和大拇指全部完全弯曲收起来。,Gesture_Social,0,250,255,255,0,0
食指、中指和无名指完全伸直，小指和大拇指完全弯曲。,Gesture_Social,0,250,255,255,255,0
把除了食指之外的所有手指都紧紧握起来。,Single_Index,0,250,250,0,0,0
仅仅大拇指保持不动，另外四根手指完全弯曲。,Single_Thumb,250,250,0,0,0,0
大拇指和食指完全伸直，其余三指紧贴掌心。,Gesture_Social,255,250,255,0,0,0
所有手指稍微往回缩一点，呈现要抓东西前的预备姿势。,Extent_Slight,85,180,177,185,181,169
把拳头稍微松开一点点，不要攥得那么死。,Extent_Slight,46,183,0,0,0,0
完全张开手掌，但大拇指的关节微微往回扣一点。,Extent_Slight,255,153,255,255,255,255
像死机了一样，手部保持一个不发力的虚弱半开状态。,Extent_Half,105,153,133,134,132,140
大拇指侧摆到正前方，指腹和食指指腹精准对捏。,Precision_Pinch_2,87,83,121,250,250,250
大拇指侧摆，和食指、中指的三根指尖捏在一起。,Precision_Pinch_3,87,42,117,110,250,250
大拇指和中指对捏，其他手指自然张开。,Single_Middle,100,0,250,115,250,250
食指弯曲，大拇指贴在食指的侧面，做侧边捏合（像拿钥匙）。,Precision_Lateral,59,158,94,250,250,250
用大拇指和食指轻轻捏住一根细针。,Precision_Pinch_2,99,79,119,250,250,250
拇指和食指捏合在一起，其他三根手指往手背方向用力翘起。,Precision_Pinch_2,99,79,117,255,255,255
模拟手里正捏着一张非常薄的A4纸。,Precision_Pinch_2,99,79,117,116,125,135
用大拇指和食指夹住一张银行卡的边缘。,Precision_Pinch_2,92,77,118,250,250,250
拇指与食指呈C型张开，准备捏取一个乒乓球。,Precision_Pinch_2,136,77,136,250,250,250
用大拇指和食指小心翼翼地捏住一根头发丝。,Precision_Pinch_2,96,84,117,250,250,250
大拇指侧摆过来，把食指和中指紧紧锁住。,Precision_Lateral,96,43,111,106,250,250
把大拇指卡在食指和中指的缝隙之间。,Gesture_Social,96,43,111,106,250,250
用大拇指和食指捏住一颗小葡萄，不要太用力。,Precision_Pinch_2,113,80,140,250,250,250
大拇指、食指和中指呈三角形捏合，像捏着一支铅笔准备写字。,Precision_Pinch_3,103,58,111,90,250,250
大拇指和食指捏合，并在指尖留出大约一厘米的空隙。,Precision_Pinch_2,114,76,129,250,250,250
把对捏的大拇指和食指稍微松开一点。,Extent_Slight,105,76,118,250,250,250
所有手指张开，大拇指侧摆悬停在掌心正上方。,Single_Thumb,250,76,250,250,250,250
模拟用大拇指和食指去拧开一颗小螺母。,Precision_Pinch_2,103,145,100,250,250,250
用大拇指、食指和中指轻轻捏住一颗草莓。,Precision_Pinch_3,138,44,153,149,250,250
大拇指和食指死死捏紧，模拟拔掉插头的发力动作。,Precision_Pinch_2,93,127,107,250,250,250
大拇指侧摆到食指指根处，食指弯曲把它包住。,Gesture_Fist,0,71,106,250,250,250
拇指和食指捏紧，中指、无名指、小指依次呈现阶梯状的弯曲。,Precision_Pinch_2,97,81,116,106,86,66
模拟用大拇指和食指去拉衣服上的拉链。,Precision_Pinch_2,97,81,122,250,250,250
拇指指尖顶住食指指腹，像是在搓捻一撮盐。,Precision_Pinch_2,97,81,118,250,250,250
拇指侧向压在弯曲的食指侧边，模拟扣动打火机。,Precision_Lateral,78,255,85,84,83,81
将所有手指的指尖向大拇指靠拢，但不完全碰到。,Extent_Half,106,4,110,123,122,123
拇指和中指死死捏住，食指伸直指向上方。,Single_Middle,97,0,250,117,250,250
拇指侧摆到掌心中间，另外四指像盖子一样轻轻盖在拇指上。,Gesture_Fist,37,0,106,99,104,108
模拟捏住一块薄薄的薯片，力度要非常轻。,Precision_Pinch_2,95,76,122,250,250,250
大拇指和食指捏住一枚硬币的上下两面。,Precision_Pinch_2,95,76,124,250,250,250
大拇指与食指分开两厘米的距离，准备捏起桌上的橡皮。,Precision_Pinch_2,118,76,144,250,250,250
五指张开并弯曲成圆弧状，准备抓起一个大苹果。,Power_Sphere,193,49,173,180,172,148
四指用力弯曲勾住，大拇指压紧，模拟握住自行车的车把手。,Power_Cylinder,48,159,45,48,46,39
做出紧紧握住一根粗棍子的圆柱状抓握。,Power_Cylinder,138,111,89,98,96,97
手掌呈杯状，模拟手里正握着一个网球。,Power_Sphere,168,24,97,121,128,97
四根手指弯成钩子状，大拇指贴在侧面，准备提一个重的塑料袋。,Power_Cylinder,89,144,90,91,100,107
模拟单手端着一杯水的姿态。,Power_Cylinder,201,242,112,124,124,116
拇指张开，四指微曲，像抓着一个电脑鼠标。,Power_Sphere,81,155,250,250,250,210
模拟抓住门把手准备往下压的姿势。,Power_Cylinder,86,113,65,73,72,80
四根手指紧紧并拢并弯曲，像用手去舀水一样。,Power_Sphere,59,255,162,175,175,168
把手圈成一个圆筒形，像握住一根手电筒。,Power_Cylinder,80,131,61,68,67,76
大拇指尽力往外张，四指微弯，模拟单手抓起一个大碗的边缘。,Power_Cylinder,91,119,121,105,93,69
手指呈半圆状，抓握住一个矿泉水瓶。,Power_Cylinder,148,67,121,118,126,133
模拟用力捏扁一个易拉罐的满手抓握。,Power_Cylinder,164,41,125,125,134,144
四根手指的指尖抵在掌根上，大拇指侧展，做半握拳状。,Gesture_Fist,51,172,0,0,0,0
模拟紧紧抓住一根竖直的绳子。,Power_Cylinder,21,234,0,0,0,0
张开手掌，手指微微弯曲，模拟拍篮球前的手势。,Power_Sphere,217,229,250,250,250,250
模拟用拇指和食指握着一把刷子准备刷墙的姿势。,Precision_Lateral,71,201,80,250,250,250
用力攥紧一块海绵，所有手指弯曲到底。,Power_Cylinder,211,255,0,0,0,0
手掌扁平张开，大拇指紧贴侧边，模拟准备和别人击掌。,Gesture_Social,17,255,255,255,255,255
模拟手里正握着一部智能手机的样子。,Power_Cylinder,46,207,205,162,122,95
拇指和食指大张开，其他手指托底，模拟拿着一个汉堡。,Power_Cylinder,109,115,218,229,213,188
手指稍微分开并弯曲，模拟打字时悬停在键盘上的状态。,Extent_Half,73,255,190,190,190,190
模拟反手抓着一个水杯的底部。,Power_Cylinder,1,255,111,114,110,88
四根手指弯曲一半，大拇指侧展，准备拉开抽屉。,Power_Cylinder,146,197,0,0,0,0
把手掌微微窝起来，模拟接住天上掉下来的水滴。,Power_Sphere,149,255,213,225,215,203
模拟握着一根很粗的麻绳的姿态。,Power_Cylinder,58,167,21,29,28,1
只把食指完全伸直，其余手指全部弯曲握住。,Single_Index,13,255,255,0,0,0
只有小拇指单独弯曲到底，其他四根手指保持伸展。,Single_Ring,250,250,250,250,250,0
仅仅把大拇指往掌心方向侧摆，不要做任何弯曲动作。,Single_Thumb,250,0,250,250,250,250
把无名指和小拇指一起弯曲收回掌心，保留前三指张开。,Gesture_Social,250,250,250,250,0,0
中指和无名指伸直，食指和小指弯曲收起。,Gesture_Social,250,250,0,255,255,0
只有食指往下弯曲一半，其他手指保持原样。,Single_Index,250,250,125,250,250,250
保持手掌全开，单独把大拇指的弯曲关节扣下来。,Single_Thumb,0,250,250,250,250,250
只收拢中指，其他四根手指尽量张开。,Single_Middle,255,255,255,0,255,255
除了小拇指之外，所有手指全部弯曲握紧。,Single_Ring,52,172,0,0,0,250
食指和小拇指伸直，中指和无名指收回掌心。,Gesture_Social,250,250,255,0,0,255
大拇指侧摆到底并且弯曲，其他四根手指完全笔直。,Single_Thumb,0,0,255,255,255,255
只让无名指稍微弯曲一点点。,Single_Pinky,250,250,250,250,200,250
保持握拳状态，仅仅把大拇指往外展开。,Single_Thumb,250,250,0,0,0,0
保持握拳状态，仅仅把食指和小指伸出来。,Gesture_Social,42,193,255,0,0,255
只有食指和中指微微弯曲，其他手指保持伸直。,Extent_Slight,255,255,200,200,255,255
食指保持不动，把中指、无名指和小指稍稍弯曲。,Extent_Slight,250,250,250,200,200,200
只有大拇指和食指保持活动张开，后面三指死死扣在掌心。,Precision_Pinch_2,250,250,250,0,0,0
食指往下压死，大拇指侧摆压在食指侧面。,Precision_Lateral,39,188,0,250,250,250
除了食指以外的所有手指全部弯曲一半。,Single_Index,125,250,250,125,125,125
仅仅把小拇指往外侧尽力伸展张开。,Single_Ring,250,250,250,250,250,255
中指弯曲到底，大拇指搭在中指侧面。,Single_Middle,39,47,250,0,250,250
所有手指全部伸直，只把大拇指往回弯曲成直角。,Single_Thumb,0,250,255,255,255,255
食指和无名指微微弯曲，中指和小拇指伸直。,Extent_Slight,250,250,194,255,194,255
比出一个非常标准的“赞”（大拇指伸出，其余四指握拳）。,Gesture_Social,250,79,0,0,0,0
做出“OK”的手势（拇指食指对捏成环，其余三指张开）。,Gesture_Social,95,69,117,250,250,250
做出“数字6”的手势（大拇指和小指伸出，代表打电话）。,Gesture_Social,255,255,35,35,35,255
单独伸出小拇指，做出准备拉钩的手势。,Gesture_Social,52,171,0,0,0,255
伸出三根手指，做出童子军的发誓手势。,Gesture_Social,0,255,255,255,255,0
伸出食指，指向正前方。,Gesture_Social,0,255,255,0,0,0
做出“停止”的手势，手掌立起，五指并拢伸平。,Gesture_Social,250,250,250,250,250,250
做出“过来”的手势，手掌朝下，四指弯曲向内勾。,Gesture_Social,250,250,200,200,200,200
做出数字“3”的手势。,Gesture_Social,92,117,255,255,255,0
做出数字“4”的手势（大拇指收进掌心，其余四指张开）。,Gesture_Social,92,117,255,255,255,255
拇指朝下，比出一个“倒赞”的嘲讽手势。,Gesture_Social,250,79,0,0,0,0
所有的手指再稍微往里弯曲大约十度的样子。,Extent_Slight,220,250,220,220,220,220
手掌不要完全张开，保持大概百分之八十的张开度。,Extent_Half,200,255,200,200,200,200
