text,category,category_id,thumb_cmc_pitch,thumb_cmc_yaw,index_mcp_pitch,middle_mcp_pitch,pinky_mcp_pitch,ring_mcp_pitch
把手张开至极限状态，五指完全伸直，大拇指往外侧展到最大。,Gesture_Open,0,255,255,255,255,255,255
把手张开到尽可能大，五根手指全部处于伸直状态，拇指向外侧拉至最大角度。,Gesture_Open,0,255,255,255,255,255,255
让五指全部伸直，手掌完全张开，拇指向外端的角度达到最大值。,Gesture_Open,0,255,255,255,255,255,255
手指全部伸直，手掌完全展开，拇指尽量外展到最大程度。,Gesture_Open,0,255,255,255,255,255,255
把手指都伸直，使手掌尽量张开，拇指朝外扩到最大角度。,Gesture_Open,0,255,255,255,255,255,255
让五指保持伸直，手掌张开到极限，拇指向外侧达到最大展角。,Gesture_Open,0,255,255,255,255,255,255
五根手指全部直立伸展，手掌完全展开，拇指向外侧最远位置。,Gesture_Open,0,255,255,255,255,255,255
请把手指全部伸直，手掌展平成扇形，拇指外展到最大角度。,Gesture_Open,0,255,255,255,255,255,255
五指完全伸直，手掌张开到极限，拇指向外延展至最大值。,Gesture_Open,0,255,255,255,255,255,255
让手指逐个伸直，整体张开到极限，拇指朝外到最大角度。,Gesture_Open,0,255,255,255,255,255,255
把手张成极开形，五指全都伸直，拇指向外侧的角度达到最大。,Gesture_Open,0,255,255,255,255,255,255
用力握成一个最紧的实心拳头，大拇指压在四指外面，且在食指上面。,Gesture_Fist,1,72,66,0,0,0,0
专注完成握拳任务，保持拳头紧实，指尖向内收拢即可。,Gesture_Fist,1,72,66,0,0,0,0
大拇指压在四指之外，置于食指上方，拳头要尽量紧实。,Gesture_Fist,1,72,66,0,0,0,0
把手握成最紧的拳头，手指全部紧贴，拇指放在外侧并略高于食指。,Gesture_Fist,1,72,66,0,0,0,0
将五指紧扣成拳，拇指放在外侧壳面，位于食指之上。,Gesture_Fist,1,72,66,0,0,0,0
以力握拳，指节收紧，拇指紧贴外侧并置于食指之上方。,Gesture_Fist,1,72,66,0,0,0,0
把手握成一个结实的拳头，拇指压在外面，位于食指之上方区域。,Gesture_Fist,1,72,66,0,0,0,0
用力握紧，指尖并拢成拳，拇指放在外侧并置于食指之上。,Gesture_Fist,1,72,66,0,0,0,0
拳头尽量紧实成型，拇指跨在外缘，覆盖在四指之上。,Gesture_Fist,1,72,66,0,0,0,0
让拳头达到最大紧实度，拇指压在外侧，位于食指之上方。,Gesture_Fist,1,72,66,0,0,0,0
五指并拢成拳，拇指在外圈压着并略高于食指位置。,Gesture_Fist,1,72,66,0,0,0,0
用力握成一个最紧的实心拳头，大拇指压在四指外面，且在食指和中指中间。,Gesture_Fist,1,74,0,0,0,0,0
聚焦完成一个紧实的握拳动作，确保拳头完全闭合，指尖与掌心处于稳定的受力状态。,Gesture_Fist,1,74,0,0,0,0,0
用力把手指收紧成拳，拇指压在四指外侧并置于食指与中指之间的位置。,Gesture_Fist,1,74,0,0,0,0,0
把手握成最紧的拳头，拇指坚持压在外侧，稳稳地夹在食指与中指之间。,Gesture_Fist,1,74,0,0,0,0,0
以最快速率收拢所有手指成拳，拇指放在外侧并压在食指与中指之间的区域。,Gesture_Fist,1,74,0,0,0,0,0
完成一个紧密的拳头，拇指固定在外侧，处于食指与中指的中间线附近。,Gesture_Fist,1,74,0,0,0,0,0
把手指全部弯曲成拳，拇指压在外缘，稳定地卡在食指和中指之间。,Gesture_Fist,1,74,0,0,0,0,0
以力道收紧拳头，拇指放在外侧并压在食指与中指的夹角处。,Gesture_Fist,1,74,0,0,0,0,0
握出一个紧致的拳头，拇指紧贴在外侧并处于食指与中指之间的空隙上方。,Gesture_Fist,1,74,0,0,0,0,0
让拳头达到最紧状态，拇指扣在外侧，恰好位于食指和中指之间的位置。,Gesture_Fist,1,74,0,0,0,0,0
将手指全部弯成拳状，拇指压在外侧，落在食指与中指之间的中线位置。,Gesture_Fist,1,74,0,0,0,0,0
手部完全放松，呈现自然下垂时的微曲状态。,Gesture_Open,0,250,250,250,250,250,250
目标放松，手指自然微曲并保持稳定，不做额外动作。,Gesture_Open,0,250,250,250,250,250,250
让食指、中指、无名指和小指保持轻微弯曲，拇指自然贴合掌心的位置。,Gesture_Open,0,250,250,250,250,250,250
保持手掌放松，指尖略微弯曲，整体呈自然垂落状态。,Gesture_Open,0,250,250,250,250,250,250
五根手指轻微弯曲，手掌自然下垂，未施加额外张力。,Gesture_Open,0,250,250,250,250,250,250
让手指和掌面以最放松的状态垂下，拇指自然贴近掌面，呈现微曲姿态。,Gesture_Open,0,250,250,250,250,250,250
把手放松到自然下垂，指节保持轻微弯曲，避免僵硬。,Gesture_Open,0,250,250,250,250,250,250
五指以自然的轻微弯曲落下，掌心朝向内侧，手部保持放松。,Gesture_Open,0,250,250,250,250,250,250
手完全放松并自然下垂，指关节呈现柔和的微曲曲线。,Gesture_Open,0,250,250,250,250,250,250
让手指以最放松的微曲状自然下垂，避免任何额外紧张。,Gesture_Open,0,250,250,250,250,250,250
保持手部放松，手指轻微内卷，掌心自然贴近腿部或桌面的自然姿态。,Gesture_Open,0,250,250,250,250,250,250
拇指侧摆自然打开，其他四指全部弯曲到底。,Single_Thumb,2,250,250,0,0,0,0
目标指向型：保持拇指自然打开，其余四指保持弯曲并接触掌心以完成抓取姿态。,Single_Thumb,2,250,250,0,0,0,0
目标指向型：拇指向外微张，其他四指全部蜷曲靠近掌心，形成稳固握物的姿态。,Single_Thumb,2,250,250,0,0,0,0
目标导向型：保持拇指张开，四根手指全弯曲至最大限度以包裹目标物。,Single_Thumb,2,250,250,0,0,0,0
目标导向型：拇指保持自然外展，其他四指完全屈曲以实现对目标物的稳定抓取。,Single_Thumb,2,250,250,0,0,0,0
动作分解型：拇指在侧向略微张开，其余四指向掌心方向弯曲直到抵达关节位置。,Single_Thumb,2,250,250,0,0,0,0
动作分解型：拇指向外张开，食中无名小拇指四指全部向内弯曲到全屈状态。,Single_Thumb,2,250,250,0,0,0,0
动作分解型：拇指保持打开，拇指以外的四指逐根弯曲至接近全屈以完成夹取。,Single_Thumb,2,250,250,0,0,0,0
日常口语型：把拇指往旁边张开点，剩下的四根手指全部往里弯就行了。,Single_Thumb,2,250,250,0,0,0,0
日常口语型：拇指自然张开，另外四指都折进来，像要把东西抱起来的样子。,Single_Thumb,2,250,250,0,0,0,0
拟人/比喻型：拇指像开了一扇小门，其它四指像被关紧的门闩，彼此协作完成抓握。,Single_Thumb,2,250,250,0,0,0,0
拇指往掌心方向侧摆完全收拢并完全弯曲，另外四根手指完全伸直。,Single_Thumb,2,0,0,255,255,255,255
将拇指往掌心方向收拢并完全弯曲，其余四指保持直立。,Single_Thumb,2,0,0,255,255,255,255
拇指向掌心方向侧摆并完全弯曲，其它四指保持伸直状态。,Single_Thumb,2,0,0,255,255,255,255
把拇指朝掌心方向紧贴并完全屈曲，其余四指全部伸直。,Single_Thumb,2,0,0,255,255,255,255
让拇指向掌心收拢并完全弯曲，另外四根手指保持直线张开。,Single_Thumb,2,0,0,255,255,255,255
拇指向掌心方向收紧并完全屈曲，四指保持完全伸直。,Single_Thumb,2,0,0,255,255,255,255
把拇指往掌心方向偏向并完全折弯，其余四指直立且伸展。,Single_Thumb,2,0,0,255,255,255,255
拇指朝掌心方向侧向收拢并完全弯曲，其他四指保持伸直状态。,Single_Thumb,2,0,0,255,255,255,255
让拇指往掌心那边靠拢并完全弯曲，另外四指保持伸直不变。,Single_Thumb,2,0,0,255,255,255,255
拇指向掌心方向侧摆并完全屈曲，其余四指保持笔直展开。,Single_Thumb,2,0,0,255,255,255,255
把拇指朝掌心方向收拢并完全弯曲，四指保持全伸直的姿态。,Single_Thumb,2,0,0,255,255,255,255
除了大拇指保持张开外，食指、中指、无名指和小指全部收缩握拳。,Single_Thumb,2,250,250,0,0,0,0
目标是完成抓取任务，保持大拇指张开，其余四指收拢成拳头，以便稳固抓取对象。,Single_Thumb,2,250,250,0,0,0,0
除了拇指保持张开，其它四指逐步收拢，形成拳态以对目标物进行稳固握持。,Single_Thumb,2,250,250,0,0,0,0
请确保拇指保持张开，其它四指合拢成拳，完成对目标物的抓取。,Single_Thumb,2,250,250,0,0,0,0
拇指保持张开，食指、中指、无名指和小指全部向掌心方向弯曲并握成拳头，以实现稳固抓取。,Single_Thumb,2,250,250,0,0,0,0
在抓取时，拇指保持伸展，其余四指弯曲并合拢成拳头，确保对物体的控制。,Single_Thumb,2,250,250,0,0,0,0
请让拇指保持张开状态，其他指头全部收缩成拳，以便抓取目标。,Single_Thumb,2,250,250,0,0,0,0
目标指令：拇指不收拢，保持张开，食指、中指、无名指、小指整体握拳。,Single_Thumb,2,250,250,0,0,0,0
执行时，让拇指保持张开，其他四指连同成拳，以实现牢固的抓握。,Single_Thumb,2,250,250,0,0,0,0
保持拇指张开，其余指头全部进入拳状以完成对目标的握持。,Single_Thumb,2,250,250,0,0,0,0
拇指维持张开，另外四根手指整体收拢成拳头，完成对物体的稳定握取。,Single_Thumb,2,250,250,0,0,0,0
所有关节复位到最原始的自然张开状态。,Gesture_Open,0,250,250,250,250,250,250
将所有关节恢复到自然放松、未受力的状态，不强调具体动作。,Gesture_Open,0,250,250,250,250,250,250
把手的各关节逐步调整回最初的自然张开程度，保持放松。,Gesture_Open,0,250,250,250,250,250,250
所有手指的关节回到原本的自然张开角度，像刚拿起东西前的状态一样。,Gesture_Open,0,250,250,250,250,250,250
让手指和掌部的各关节恢复到最初的自然张开姿态，不要用力。,Gesture_Open,0,250,250,250,250,250,250
把所有关节都放回到最自然的空张状态，维持放松感。,Gesture_Open,0,250,250,250,250,250,250
让手指的各关节回到最初的自然开合程度，避免过度收拢或张展。,Gesture_Open,0,250,250,250,250,250,250
请将手掌的所有关节调整回自然的开阔状态。,Gesture_Open,0,250,250,250,250,250,250
把手指的每一个关节恢复到最初的自然张开范围，保持放松。,Gesture_Open,0,250,250,250,250,250,250
使所有关节回到最自然的未受限张开形态，别让手指僵硬。,Gesture_Open,0,250,250,250,250,250,250
让手指所有关节恢复到最原始的自然开张状态，保持轻松。,Gesture_Open,0,250,250,250,250,250,250
手指全部呈现半弯曲状态，像一个放松的爪子。,Extent_Half,3,90,154,170,170,170,170
将手指保持半弯的放松状态，像一个轻松的抓握准备姿态。,Extent_Half,3,90,154,170,170,170,170
所有手指以半弯曲的角度呈现，像一只放松的抓握爪。,Extent_Half,3,90,154,170,170,170,170
把手指都维持在半弯的位置，像在随时准备接触但不紧握的状态。,Extent_Half,3,90,154,170,170,170,170
让指节处于半弯曲，给人一副随意、放松的抓取姿态。,Extent_Half,3,90,154,170,170,170,170
指尖保持半弯，整体像一只温柔的、未完全收拢的爪形。,Extent_Half,3,90,154,170,170,170,170
让每根手指都处于半弯曲，仿佛正在温柔地等待下一步动作。,Extent_Half,3,90,154,170,170,170,170
保持半弯的指形，看起来像一只轻松的爪子准备触碰。,Extent_Half,3,90,154,170,170,170,170
手指以半曲度排列，呈现出放松的抓握预备状态。,Extent_Half,3,90,154,170,170,170,170
让指间轻微弯曲，整体像一只不紧绷的爪子。,Extent_Half,3,90,154,170,170,170,170
所有手指都维持半弯，呈现自然、放松的抓取初态。,Extent_Half,3,90,154,170,170,170,170
慢慢收拢所有手指，做成一个内部有空间的空心拳头。,Power_Cylinder,4,33,255,29,32,30,29
目标是让拳头收拢成一个内部留有空间的形态，确保外部看起来像一个空心的拳头。,Power_Cylinder,4,33,255,29,32,30,29
将所有手指逐步弯曲并靠拢，形成一个内部中空的拳头结构。,Power_Cylinder,4,33,255,29,32,30,29
让手指逐渐合拢，但拳头内部留出一定的空腔，以示空心状态。,Power_Cylinder,4,33,255,29,32,30,29
让全指收拢成一个内部有空隙的拳头，强调内部空间感而非指尖紧贴。,Power_Cylinder,4,33,255,29,32,30,29
使五指逐步收紧，拳头内部留出空间，呈现空心轮廓。,Power_Cylinder,4,33,255,29,32,30,29
慢慢把每根手指往内弯曲，直到拳头看起来像一个内部有空间的空心形态。,Power_Cylinder,4,33,255,29,32,30,29
所有指节逐步收拢，形成一个内部留有空腔的拳头轮廓，不要指尖紧贴。,Power_Cylinder,4,33,255,29,32,30,29
让手指依次向内收缩，拳头内部留出可见的空心区域。,Power_Cylinder,4,33,255,29,32,30,29
用顺滑的动作把指头收拢，拳头内部出现空腔，外观仍是紧凑的握拳。,Power_Cylinder,4,33,255,29,32,30,29
慢慢把手指收紧，拳头内部留出一个空的空间，好像里面有个小空腔在呼吸。,Power_Cylinder,4,33,255,29,32,30,29
四根手指自然伸直，大拇指以最大角度往手心正前方侧摆。,Single_Thumb,2,250,0,250,250,250,250
目标是完成抓取/放置任务，保持四指自然伸直，拇指向前侧摆至最大角度以确保对目标的接触与控制。,Single_Thumb,2,250,0,250,250,250,250
将上四指保持自然伸直，拇指向手掌正前方偏外最大角度展开，以稳定指向目标物体。,Single_Thumb,2,250,0,250,250,250,250
四根手指保持直立状态，拇指朝向手掌前方并向外最大幅度旋转，便于抓取。,Single_Thumb,2,250,0,250,250,250,250
让四指保持自然伸直，拇指以最大的角度向前侧摆出以提高抓取力。,Single_Thumb,2,250,0,250,250,250,250
四指保持放松伸直，拇指朝前侧最大角度展出，确保能顺利接触目标。,Single_Thumb,2,250,0,250,250,250,250
把四指保持直立，拇指向前方偏外最大角度展开，帮助锁定目标。,Single_Thumb,2,250,0,250,250,250,250
四指自然伸直，拇指以最大角度向手掌前方外侧扭转，以增强支撑。,Single_Thumb,2,250,0,250,250,250,250
四指直立展开，拇指向前侧以最大角度张开，便于定位与夹持。,Single_Thumb,2,250,0,250,250,250,250
让四指保持伸直，拇指尽量向前侧外扩至最大角度，以确保稳固接触。,Single_Thumb,2,250,0,250,250,250,250
四指自然伸直，拇指朝前方外侧最大角度摆出，以实现精准握持姿态。,Single_Thumb,2,250,0,250,250,250,250
大拇指完全伸直并侧展，食指到小指只弯曲第一和第二指节，呈直角。,Extent_Half,3,250,250,32,32,32,31
目标是完成抓取任务，保持大拇指伸直并侧展，其他手指保持稳定以便握取。,Extent_Half,3,250,250,32,32,32,31
大拇指完全伸直并向外偏开，其余四指仅在第一和第二指节处弯曲，第三、第四指节保持伸直或轻微直立。,Extent_Half,3,250,250,32,32,32,31
聚焦于将物体夹持成功，大拇指要伸直并侧向张开，食指到小指仅在前两指节弯曲。,Extent_Half,3,250,250,32,32,32,31
让抓取动作准确执行：大拇指直线伸展并向外翻开，食指至小指在第一和第二指节形成弯曲，保持其余部分不变。,Extent_Half,3,250,250,32,32,32,31
把握目标物体的夹持点，拇指完全伸直并横向展開，食指到小指仅在第一、二指节形成弯曲。,Extent_Half,3,250,250,32,32,32,31
以实现稳定抓取为重点，大拇指保持直线伸展并侧展，其他四指仅在前两指节弯曲。,Extent_Half,3,250,250,32,32,32,31
为达到握持姿态，拇指要完全伸直并向一侧展开，食指到小指在第一和第二指节呈直角弯曲。,Extent_Half,3,250,250,32,32,32,31
聚焦于定位与夹持，大拇指直伸并横向展开，其余指头仅在前两节弯曲成角度。,Extent_Half,3,250,250,32,32,32,31
在不改变握力的前提下，拇指完全伸直并向外侧展开，食指至小指的第一、二指节保持弯曲。,Extent_Half,3,250,250,32,32,32,31
目标姿态：拇指保持完全伸直并侧展，食指到小指仅在第一和第二指节弯曲，第三、四指保持直立或微张开。,Extent_Half,3,250,250,32,32,32,31
食指和中指完全伸直，无名指、小指和大拇指全部完全弯曲收起来。,Gesture_Social,5,0,250,255,255,0,0
聚焦完成任务的状态，让食指和中指保持完全伸直，其他三指收起。,Gesture_Social,5,0,250,255,255,0,0
将食指与中指保持直立态势，其他三指弯曲并收起来，抓取就位。,Gesture_Social,5,0,250,255,255,0,0
目标是让食指和中指处于完全伸展的姿态，剩下三指全部弯曲隐藏起来。,Gesture_Social,5,0,250,255,255,0,0
以完成抓取为目标，食指和中指保持直线，其余三指合拢弯曲。,Gesture_Social,5,0,250,255,255,0,0
让食指与中指呈现伸直状态，另外三指完全弯曲并收回。,Gesture_Social,5,0,250,255,255,0,0
把焦点放在任务完成上，食指与中指保持伸展，其他三指收起不参与。,Gesture_Social,5,0,250,255,255,0,0
食指和中指直立伸展，其他三指弯曲并全部收回到手掌内。,Gesture_Social,5,0,250,255,255,0,0
目标姿态是食指和中指伸直，其余三指处于完全弯曲并隐藏的状态。,Gesture_Social,5,0,250,255,255,0,0
把手指状态定在任务完成，食指和中指直线伸展，其他三指折叠收起。,Gesture_Social,5,0,250,255,255,0,0
以完成抓取为目标，食指与中指保持伸直，剩下三指完全弯曲并收纳起来。,Gesture_Social,5,0,250,255,255,0,0
食指、中指和无名指完全伸直，小指和大拇指完全弯曲。,Gesture_Social,5,0,250,255,255,255,0
目标是完成抓取任务，保持手指的整体张开度与物体状态相匹配，不强调具体手指名称。,Gesture_Social,5,0,250,255,255,255,0
将示指、次指和无名指保持伸直，其它两根手指按照具体抓取需求进行适度卷曲，确保稳固抓取。,Gesture_Social,5,0,250,255,255,255,0
抓取目标已经就位，请将指尖保持直立，其他指头根据需要进行收放以实现稳抓。,Gesture_Social,5,0,250,255,255,255,0
像拿取一个小物件一样，让食指、中指、无名指保持伸直，大拇指和小指按抓取需求自然弯曲。,Gesture_Social,5,0,250,255,255,255,0
手指需要形成对物件的稳定接触线，前三指直立，后两指按任务需要弯曲以适应抓握。,Gesture_Social,5,0,250,255,255,255,0
用手指的分工来完成动作：指示三根手指保持伸直，另外两根按情境弯曲以实现稳固抓握。,Gesture_Social,5,0,250,255,255,255,0
把目标物体稳稳抓起，食指、再指、无名指保持伸直，小拇指和拇指适度弯曲以包裹物体。,Gesture_Social,5,0,250,255,255,255,0
三根指定指保持挺直，另一对指按需要收弯，完成对目标的稳固抓取。,Gesture_Social,5,0,250,255,255,255,0
进行抓取前把食指、末指和中指拉直，其余两指按照抓物需求进行轻度弯曲以贴合形状。,Gesture_Social,5,0,250,255,255,255,0
为了顺利拿起目标，前三指保持直线状态，后两指以柔和弯曲形成包覆感，便于控制。,Gesture_Social,5,0,250,255,255,255,0
把除了食指之外的所有手指都紧紧握起来。,Single_Index,6,0,250,250,0,0,0
目标是完成抓取任务，把目标物体保持稳定，其他手指紧贴合拢。,Single_Index,6,0,250,250,0,0,0
将中指、无名指、小指和拇指的关节全部弯曲并收拢成合拢状态，保持对目标的抓取。,Single_Index,6,0,250,250,0,0,0
把除了食指之外的手指紧紧握紧，以确保能稳定夹持对象。,Single_Index,6,0,250,250,0,0,0
将拇指、食指以外的全部手指都向掌心方向弯曲并握紧，形成稳固的抓握。,Single_Index,6,0,250,250,0,0,0
用力合拢除食指以外的四根手指，确保对目标物体有稳固的抓取力。,Single_Index,6,0,250,250,0,0,0
其他四指都处于紧握状态，只有食指保持相对放松以便定位对象。,Single_Index,6,0,250,250,0,0,0
把除食指外的手指全部弯曲并挤紧，确保牢牢抓住物体。,Single_Index,6,0,250,250,0,0,0
将拇指之外的指法收拢成紧握姿态，以实现对目标的稳定夹持。,Single_Index,6,0,250,250,0,0,0
让除食指外的四根手指全部卷曲并紧贴掌心，形成强力抓取。,Single_Index,6,0,250,250,0,0,0
除了食指，其余手指全部紧紧握起，准备稳固地夹取对象。,Single_Index,6,0,250,250,0,0,0
仅仅大拇指保持不动，另外四根手指完全弯曲。,Single_Thumb,2,250,250,0,0,0,0
目标是抓取时保持稳定，其他四指全部弯曲以锁定物体位置。,Single_Thumb,2,250,250,0,0,0,0
遵循任务目标，四指全屈，拇指保持原位以维持抓取力。,Single_Thumb,2,250,250,0,0,0,0
去完成抓取任务，四根手指完全弯曲，拇指保持不动。,Single_Thumb,2,250,250,0,0,0,0
把抓取目标固定住，除了拇指，其他四指全都弯成90度或更大弯曲。,Single_Thumb,2,250,250,0,0,0,0
以完成任务为导向，四指全屈，拇指保持原始角度不变。,Single_Thumb,2,250,250,0,0,0,0
为了实现抓取，请让四根手指全部弯曲，拇指保持不动的位置。,Single_Thumb,2,250,250,0,0,0,0
工作指令：四指弯曲成握拳状，拇指保持当前位置不变。,Single_Thumb,2,250,250,0,0,0,0
让抓取稳定下来，四指全部屈曲，拇指保持不动的姿态。,Single_Thumb,2,250,250,0,0,0,0
围绕目标抓取的需求，四指完全弯曲，拇指维持原来的角度。,Single_Thumb,2,250,250,0,0,0,0
在不改变拇指位置的前提下，让其他四指全部弯曲以完成抓取动作。,Single_Thumb,2,250,250,0,0,0,0
大拇指和食指完全伸直，其余三指紧贴掌心。,Gesture_Social,5,255,250,255,0,0,0
Focus on the task: 展开大拇指和食指，使其完全伸直，其它三指保持贴合掌心。,Gesture_Social,5,255,250,255,0,0,0
将拇指和食指伸直到最大角度，其他三指维持贴合掌心的姿势。,Gesture_Social,5,255,250,255,0,0,0
让大拇指和食指完全伸直，其余三指紧贴掌心，完成指尖对准的姿势。,Gesture_Social,5,255,250,255,0,0,0
将拇指与食指拉直至直线，其余三指贴合掌心不分离。,Gesture_Social,5,255,250,255,0,0,0
把大拇指和食指拉直成一直线，其它三指保持贴靠掌心的形态。,Gesture_Social,5,255,250,255,0,0,0
拇指和食指完全伸直，剩下的三根手指紧贴掌心，保持稳固握态。,Gesture_Social,5,255,250,255,0,0,0
让大拇指与食指伸直成直线，其他三指紧贴掌心，不要抬起。,Gesture_Social,5,255,250,255,0,0,0
大拇指和食指伸展直线，其余三指贴合掌心，保持紧凑配置。,Gesture_Social,5,255,250,255,0,0,0
保持拇指和食指完全伸直，其它三指紧贴掌心，形成三指并拢的姿势。,Gesture_Social,5,255,250,255,0,0,0
让拇指与食指伸直成直线，剩余三指贴紧掌心，呈现简洁的握持态。,Gesture_Social,5,255,250,255,0,0,0
所有手指稍微往回缩一点，呈现要抓东西前的预备姿势。,Extent_Slight,7,85,180,177,185,181,169
把拳头稍微松开一点点，不要攥得那么死。,Extent_Slight,7,46,183,0,0,0,0
让拳头稍微放松，不要紧握得太紧。,Extent_Slight,7,46,183,0,0,0,0
放松拳头一点点，保持松散但仍有握紧的姿态。,Extent_Slight,7,46,183,0,0,0,0
请把握力降到轻微放松的程度，拳头不要死死攥着。,Extent_Slight,7,46,183,0,0,0,0
让拳头的紧绷感减弱一些，但仍保持对物体的控制。,Extent_Slight,7,46,183,0,0,0,0
指示拳头轻微放松，不要完全松开，但不要再用力攥紧。,Extent_Slight,7,46,183,0,0,0,0
把握的紧张度降低到一个轻松的状态，拳头不要太紧。,Extent_Slight,7,46,183,0,0,0,0
不要再用力捏紧拳头，稍微放开一点点即可。,Extent_Slight,7,46,183,0,0,0,0
将拳头从死握状态转换为轻微的松弛，避免用力过猛。,Extent_Slight,7,46,183,0,0,0,0
让拳头保持柔和的握力，稍微放松但仍具备抓取能力。,Extent_Slight,7,46,183,0,0,0,0
把拳头轻轻放松，避免强力攥紧的姿态，但不要完全张开。,Extent_Slight,7,46,183,0,0,0,0
完全张开手掌，但大拇指的关节微微往回扣一点。,Extent_Slight,7,255,153,255,255,255,255
把手掌完全张开，但大拇指的关节微微往回扣一点，其他指尖保持伸直。,Extent_Slight,7,255,153,255,255,255,255
把手摊开成大平板形状，拇指关节轻微内扣，其它四指保持伸直状态。,Extent_Slight,7,255,153,255,255,255,255
完全展开手掌，同时让大拇指的关节略微往里扣，保持其余指头伸直。,Extent_Slight,7,255,153,255,255,255,255
手掌完全张开，拇指关节向回扣一点点，其余指节一律直立。,Extent_Slight,7,255,153,255,255,255,255
把手展平成扇形，大拇指关节稍微往后扣，剩余指头全部伸直。,Extent_Slight,7,255,153,255,255,255,255
将手掌完全伸展，拇指的关节轻轻往回扣，其他手指保持直线张开。,Extent_Slight,7,255,153,255,255,255,255
手掌完全张开，拇指关节微微内扣，另外四指保持伸直姿态。,Extent_Slight,7,255,153,255,255,255,255
把手指完全张开，拇指关节轻微向内折回，其他指头保持展直状态。,Extent_Slight,7,255,153,255,255,255,255
手掌展开成平整状态，拇指关节向内回扣一点点，其他四指直立。,Extent_Slight,7,255,153,255,255,255,255
完全把手摊开来，拇指的关节略微往后扣，剩下的手指保持完全伸直。,Extent_Slight,7,255,153,255,255,255,255
像死机了一样，手部保持一个不发力的虚弱半开状态。,Extent_Half,3,105,153,133,134,132,140
目标是在不使用力量的前提下完成抓取准备，将物体保持在可控的姿态状态。,Extent_Half,3,105,153,133,134,132,140
让食指、中指和无名指保持轻微弯曲，其余手指保持放松的中性位置，完成任务即可。,Extent_Half,3,105,153,133,134,132,140
把手保持在放松半张开的状态，重点是让手部稳定地接触到目标物体而不施加力量。,Extent_Half,3,105,153,133,134,132,140
以无力、半张的状态接触目标物体，确保手指仅做被动跟随，不主动用力。,Extent_Half,3,105,153,133,134,132,140
